epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1157.83,0.82711,0.71764,1.3188,0.99854,1,0.995,0.89047,0.4773,0.57476,1.02931,0.0002378,0.0002378,0.0002378
91,1170.34,0.76845,0.89966,1.27206,0.99861,1,0.995,0.89331,0.47391,0.57529,1.01525,0.000218,0.000218,0.000218
92,1182.95,0.72061,0.82663,1.19514,0.99877,1,0.995,0.89979,0.46845,0.5705,1.0073,0.0001982,0.0001982,0.0001982
93,1195.54,0.78572,0.8082,1.26891,0.99884,1,0.995,0.8832,0.48292,0.5862,1.02055,0.0001784,0.0001784,0.0001784
94,1208.08,0.68095,0.76905,1.17447,0.99886,1,0.995,0.87865,0.5024,0.58987,1.02502,0.0001586,0.0001586,0.0001586
95,1220.61,0.69804,0.76751,1.18931,0.99891,1,0.995,0.88715,0.48487,0.58842,1.00899,0.0001388,0.0001388,0.0001388
96,1233.18,0.72334,0.78494,1.24052,0.99898,1,0.995,0.90338,0.46233,0.55987,0.98596,0.000119,0.000119,0.000119
97,1245.67,0.64302,0.74092,1.11614,0.99898,1,0.995,0.9014,0.46636,0.54537,0.98297,9.92e-05,9.92e-05,9.92e-05
98,1258.24,0.71964,0.77381,1.22492,0.99894,1,0.995,0.90196,0.45889,0.54098,0.97965,7.94e-05,7.94e-05,7.94e-05
99,1270.8,0.69121,0.77713,1.22193,0.99893,1,0.995,0.90232,0.45246,0.53269,0.97791,5.96e-05,5.96e-05,5.96e-05
100,1283.7,0.64602,0.76714,1.22516,0.99885,1,0.995,0.9076,0.44081,0.52859,0.97384,3.98e-05,3.98e-05,3.98e-05
